Comune,SI_norm_km_density_x,SP_norm_km_density_x,SS_norm_km_density_x,SI_norm_min_density_x,SP_norm_min_density_x,SS_norm_min_density_x,SI_norm_km_density_y,SP_norm_km_density_y,SS_norm_km_density_y,SI_norm_min_density_y,SP_norm_min_density_y,SS_norm_min_density_y
CASAPE,0.0017391680789428,0.000180745621571,0.000999040911513,0.002838074336565,0.0006392931952672,0.0018646051528626,,,,,,
CASAPROTA,0.0007962467095612499,0.0007962467095612499,0.008938196954168049,0.0021397513500491,0.0021397513500491,0.01236345030712465,0.0005221500567259362,0.0005221500567259362,0.0037622072298227885,0.0009037551242309564,0.0009037551242309564,0.005566672084678681
CASPERIA,0.00344223050473818,0.00344223050473818,0.00344223050473818,0.00584087870006834,0.00584087870006834,0.00584087870006834,0.002032901832231584,0.002032901832231584,0.002032901832231584,0.0028949088768324264,0.0028949088768324264,0.0028949088768324264
CASSINO,0.014685950271776606,0.015032411038808584,0.013665927839179725,0.02307871598480281,0.025236166830282233,0.025203699646223345,0.010565480606124151,0.010552988190613904,0.009151579358957447,0.016393417332653103,0.018425281422089566,0.019172105414462987
CASTEL DI TORA,0.0003070575271136,0.0036288616840702,0.0132719087745686,0.0007053618658035,0.0063332490929596,0.0191348165723307,,,,,,
CASTEL GANDOLFO,0.0010071351891715666,0.0016590468932954,0.0008684822071296332,0.0023061639195874335,0.003702492868916333,0.0023789402841267334,0.0014021220700082488,0.0012498034427148106,0.0001616698214457161,0.0031612744339231218,0.0027240431314547956,0.0002484894229125444
CASTEL MADAMA,0.00355045864479172,0.0035508548904624963,0.003520296438670156,0.00558677371641075,0.00567260644362675,0.0054639630030807,0.0018904848183212953,0.0019368309971639617,0.0018852705908935607,0.0029145152708091814,0.003036087922533767,0.0028906047885147875
CASTEL SAN PIETRO ROMANO,0.00297866067712385,0.00297866067712385,0.00236579046364725,0.005819009911886025,0.005819009911886025,0.00466162456903335,0.00297879457518708,0.00297879457518708,0.001034932304230394,0.005597039117617633,0.005597039117617633,0.0022284988775497262
CASTEL SANT'ANGELO,0.0049557153393795855,0.0021881061808954713,0.006438533071919642,0.008145938336859943,0.003916197039245914,0.008802331313784072,0.0018330340319092824,0.0011010742064027858,0.0019415697974253514,0.0025538981235437752,0.0013829402234532516,0.0025106378291679834
CASTEL SANT'ELIA,0.019267325592120875,0.019932337990555524,0.019267325592120875,0.026289276727808626,0.026332900735888128,0.026289276727808626,0.023748766884923642,0.02459491574103056,0.023748766884923642,0.03241187925054187,0.032818828024049014,0.03241187925054187
CASTELFORTE,0.0036954563625992165,0.0029781498900843003,0.0036620749762544167,0.00563529376724925,0.004301642393242017,0.005514223597596383,0.0030789835967200683,0.0026464190969172656,0.0030637382026594308,0.004601809645120561,0.00379820933650365,0.004559609007836389
CASTELLIRI,0.0013327357624143001,0.0012855242695874,0.0013051714281953,0.0025307173024718506,0.002670781996506075,0.0027345868601901004,0.0003761931031608544,0.0004835196554726375,0.0004829851031649865,0.0006203282890645461,0.0004940495618207798,0.0004864361991082519
CASTELNUOVO DI FARFA,0.0001458092831619,0.0033251033176932,0.0042129922486794,0.0006516616007238,0.0054983947561071,0.0061364800734825,,,,,,
CASTELNUOVO DI PORTO,0.0022886203103291143,0.0033357967862312566,0.0023051588165135715,0.0038281954927636428,0.005109724170956715,0.003870771431431086,0.0015635243735859245,0.0027866866696041603,0.0015831180110873865,0.0024860329418764965,0.004422500121999579,0.0025809762363084333
CASTELNUOVO PARANO,0.009939030513833729,0.0019367641996812716,0.0019690322492483857,0.011631043039568129,0.0033645557355127718,0.003761857702454557,0.0054518661025466835,0.0017460650012479661,0.0011237132960984371,0.006750424365038862,0.002975772700491659,0.002377693871772814
CASTIGLIONE IN TEVERINA,0.006360488649099234,0.006360488649099234,0.006360488649099234,0.009401622137549833,0.009401622137549833,0.009401622137549833,0.00768144412038845,0.00768144412038845,0.00768144412038845,0.01088957309116986,0.01088957309116986,0.01088957309116986
CASTRO DEI VOLSCI,0.002852337748751011,0.0034724048762778664,0.002852337748751011,0.004423530835004878,0.005127322296124799,0.004423530835004878,0.0015238438706178547,0.0017413313110692795,0.0015238438706178547,0.002042793318225102,0.0024008306132865414,0.002042793318225102
CASTROCIELO,0.014236879305748672,0.019913403223214346,0.007436941064542655,0.019256803041928613,0.02706881696402911,0.010777436336039808,0.011356384988786954,0.01807687829721318,0.00887328584313805,0.01479729666025623,0.02308514504704868,0.011613434767730869
CAVE,0.0054068343860751,0.005506026793888776,0.0055300543722207,0.0084854257560454,0.008986034005108775,0.009318632458364375,0.003495718330828071,0.003462253788578222,0.0032588959074553647,0.005513903240946384,0.005648412373038108,0.005085355953800891
CECCANO,0.0050123021290902235,0.00513785551553004,0.0049282303308439855,0.008226869470890285,0.008113466038093344,0.007998913498513331,0.006739897386308722,0.006166334236428301,0.005704367413391675,0.009461439674295653,0.008568669212719588,0.007429395853369762
CELLENO,0.00042739867664349997,0.00042739867664349997,0.0005878124591452,0.0009590301333012,0.0009590301333012,0.00117739569636875,0.00033746324029149295,0.00033746324029149295,0.0006722775739391308,0.00044449143777562113,0.00044449143777562113,0.0011666481444578519
CELLERE,0.0001580896803653,0.002128519456439,0.0020576952796353,0.0004900780091325,0.0024661990136994,0.0022343341491635,,,,,,
