origin,destination,distance_m,duration_s,origin_lat,origin_lon,index_right,LOC21_ID,dist_meters
"41.3573315745025,13.295113377722899","41.3496867,13.3529963",6862.0,562.0,41.3573315745025,13.295113377722899,1617,5901520010.0,0.0
"41.3573315745025,13.295113377722899","41.3485294,13.3562047",7576.0,653.0,41.3573315745025,13.295113377722899,1617,5901520010.0,0.0
"41.38662071383933,13.310445645225395","41.3496867,13.3529963",6934.0,644.0,41.38662071383933,13.310445645225395,2310,5901526608.0,0.0
"41.38662071383933,13.310445645225395","41.3338013,13.3157777",11348.0,948.0,41.38662071383933,13.310445645225395,2310,5901526608.0,0.0
"41.38662071383933,13.310445645225395","41.3485294,13.3562047",7367.0,686.0,41.38662071383933,13.310445645225395,2310,5901526608.0,0.0
"40.92474582710272,12.96893545651036","41.5035278,12.9795157",,,40.92474582710272,12.96893545651036,304,5901810001.0,0.0
"40.92474582710272,12.96893545651036","40.9008163,12.9559075",4519.0,555.0,40.92474582710272,12.96893545651036,304,5901810001.0,0.0
"40.92474582710272,12.96893545651036","40.8943284,12.960162",5889.0,688.0,40.92474582710272,12.96893545651036,304,5901810001.0,0.0
"40.896047156354165,12.960090579387005","41.5035278,12.9795157",,,40.896047156354165,12.960090579387005,611,5901810002.0,0.0
"41.45144583882392,13.261564023226208","41.4796053,13.2130246",9672.0,1157.0,41.45144583882392,13.261564023226208,1991,5902326602.0,0.0
"41.45144583882392,13.261564023226208","41.4773934,13.212444",9197.0,1101.0,41.45144583882392,13.261564023226208,1991,5902326602.0,0.0
"41.45144583882392,13.261564023226208","41.47281539999999,13.1775392",17348.0,1840.0,41.45144583882392,13.261564023226208,1991,5902326602.0,0.0
"41.273236300939395,13.025575975995318","41.3105458,13.0410884",5521.0,513.0,41.273236300939395,13.025575975995318,681,5902420003.0,0.0
"41.273236300939395,13.025575975995318","41.3374739,13.1020759",12338.0,951.0,41.273236300939395,13.025575975995318,681,5902420003.0,0.0
"41.273236300939395,13.025575975995318","41.3393597,13.1042595",12509.0,965.0,41.273236300939395,13.025575975995318,681,5902420003.0,0.0
"41.273236300939395,13.025575975995318","41.33895709999999,13.1036777",12574.0,974.0,41.273236300939395,13.025575975995318,681,5902420003.0,0.0
"41.273236300939395,13.025575975995318","41.4214935,13.0418283",23287.0,1443.0,41.273236300939395,13.025575975995318,681,5902420003.0,0.0
"41.224420847604975,13.077730349427616","41.2767392,13.1010998",8940.0,932.0,41.224420847604975,13.077730349427616,868,5902520001.0,0.0
"41.224420847604975,13.077730349427616","41.2753645,13.1026266",9034.0,957.0,41.224420847604975,13.077730349427616,868,5902520001.0,0.0
"41.224420847604975,13.077730349427616","41.2476455,13.0982352",5912.0,741.0,41.224420847604975,13.077730349427616,868,5902520001.0,0.0
"41.224420847604975,13.077730349427616","41.2568442,13.1046201",8084.0,850.0,41.224420847604975,13.077730349427616,868,5902520001.0,0.0
"41.409103954903124,13.286438022722725","41.4152375,13.2427971",4809.0,478.0,41.409103954903124,13.286438022722725,1670,5902920006.0,0.0
"41.409103954903124,13.286438022722725","41.4027771,13.2017634",12727.0,1130.0,41.409103954903124,13.286438022722725,1670,5902920006.0,0.0
"41.409103954903124,13.286438022722725","41.4157549,13.2501663",6554.0,714.0,41.409103954903124,13.286438022722725,1670,5902920006.0,0.0
"41.368322166629994,13.227043510698957","41.4152375,13.2427971",16835.0,1248.0,41.368322166629994,13.227043510698957,1801,5902926603.0,0.0
"41.368322166629994,13.227043510698957","41.4027771,13.2017634",5492.0,509.0,41.368322166629994,13.227043510698957,1801,5902926603.0,0.0
"41.368322166629994,13.227043510698957","41.4157549,13.2501663",11477.0,1376.0,41.368322166629994,13.227043510698957,1801,5902926603.0,0.0
"41.36215982411585,13.23795811597669","41.4152375,13.2427971",18312.0,1408.0,41.36215982411585,13.23795811597669,1959,5902926623.0,0.0
"41.36215982411585,13.23795811597669","41.4027771,13.2017634",6968.0,669.0,41.36215982411585,13.23795811597669,1959,5902926623.0,0.0
"41.36215982411585,13.23795811597669","41.4157549,13.2501663",12954.0,1536.0,41.36215982411585,13.23795811597669,1959,5902926623.0,0.0
"41.73380889764029,13.732966999580956","41.6896744,13.747518",6260.0,489.0,41.73380889764029,13.732966999580956,1425,6000420014.0,0.0
"41.73380889764029,13.732966999580956","41.6890307,13.7457549",6307.0,499.0,41.73380889764029,13.732966999580956,1425,6000420014.0,0.0
"41.73380889764029,13.732966999580956","41.6901579,13.7490319",6398.0,516.0,41.73380889764029,13.732966999580956,1425,6000420014.0,0.0
"41.455380890724406,13.72760529767033","41.4931317,13.7079231",6656.0,529.0,41.455380890724406,13.72760529767033,1444,6000720004.0,0.0
"41.455380890724406,13.72760529767033","41.4903308,13.7048213",5594.0,449.0,41.455380890724406,13.72760529767033,1444,6000720004.0,0.0
"41.455380890724406,13.72760529767033","41.4963415,13.7055385",7026.0,553.0,41.455380890724406,13.72760529767033,1444,6000720004.0,0.0
"41.455380890724406,13.72760529767033","41.4947051,13.7029665",6814.0,526.0,41.455380890724406,13.72760529767033,1444,6000720004.0,0.0
"41.452562710777656,13.720664555813626","41.4931317,13.7079231",6841.0,587.0,41.452562710777656,13.720664555813626,1919,6000726601.0,0.0
"41.452562710777656,13.720664555813626","41.4903308,13.7048213",5780.0,506.0,41.452562710777656,13.720664555813626,1919,6000726601.0,0.0
"41.452562710777656,13.720664555813626","41.4963415,13.7055385",7212.0,610.0,41.452562710777656,13.720664555813626,1919,6000726601.0,0.0
"41.452562710777656,13.720664555813626","41.4947051,13.7029665",7000.0,583.0,41.452562710777656,13.720664555813626,1919,6000726601.0,0.0
"41.556126162842865,13.567193445784707","41.5333012,13.5411393",5229.0,425.0,41.556126162842865,13.567193445784707,643,6000810004.0,0.0
"41.556126162842865,13.567193445784707","41.5843919,13.5792999",4184.0,318.0,41.556126162842865,13.567193445784707,643,6000810004.0,0.0
"41.556126162842865,13.567193445784707","41.585102,13.5772098",4671.0,358.0,41.556126162842865,13.567193445784707,643,6000810004.0,0.0
"42.21594254609411,12.023900900630549","42.3174373,12.0605509",18297.0,1450.0,42.21594254609411,12.023900900630549,474,5600710002.0,0.0
"42.21594254609411,12.023900900630549","42.2719543,12.0291293",8644.0,754.0,42.21594254609411,12.023900900630549,474,5600710002.0,0.0
"42.21594254609411,12.023900900630549","42.2725426,12.0275778",8502.0,740.0,42.21594254609411,12.023900900630549,474,5600710002.0,0.0
"42.21594254609411,12.023900900630549","42.2735992,12.0271394",8649.0,777.0,42.21594254609411,12.023900900630549,474,5600710002.0,0.0
"42.60296628334026,12.186192781294118","42.5733598,12.2043035",6986.0,589.0,42.60296628334026,12.186192781294118,103,5602210001.0,0.0
"42.606006201338765,12.199088741249373","42.5733598,12.2043035",8275.0,688.0,42.606006201338765,12.199088741249373,1771,5602220004.0,0.0
"42.32624210207672,11.618076121983814","42.3956725,11.4935771",17643.0,1075.0,42.32624210207672,11.618076121983814,1516,5603520005.0,0.0
"42.32624210207672,11.618076121983814","42.3520348,11.6050261",4074.0,489.0,42.32624210207672,11.618076121983814,1516,5603520005.0,0.0
"42.32624210207672,11.618076121983814","42.3530391,11.6083664",4510.0,582.0,42.32624210207672,11.618076121983814,1516,5603520005.0,0.0
"42.386613365829355,11.461249477769384","42.3520348,11.6050261",16937.0,872.0,42.386613365829355,11.461249477769384,2006,5603526604.0,0.0
"42.386613365829355,11.461249477769384","42.3530391,11.6083664",17447.0,932.0,42.386613365829355,11.461249477769384,2006,5603526604.0,0.0
"42.19479407676569,11.7329125713174","42.2515605,11.7578269",7644.0,676.0,42.19479407676569,11.7329125713174,729,5605020001.0,0.0
"42.19479407676569,11.7329125713174","42.2507249,11.7574742",7569.0,660.0,42.19479407676569,11.7329125713174,729,5605020001.0,0.0
"42.19479407676569,11.7329125713174","42.2527645,11.7559678",8011.0,720.0,42.19479407676569,11.7329125713174,729,5605020001.0,0.0
"42.19479407676569,11.7329125713174","42.2431089,11.7518516",6883.0,569.0,42.19479407676569,11.7329125713174,729,5605020001.0,0.0
"42.25674215006892,11.695456548756537","42.2515605,11.7578269",7851.0,765.0,42.25674215006892,11.695456548756537,1005,5605015702.0,0.0
"42.25674215006892,11.695456548756537","42.2507249,11.7574742",7777.0,749.0,42.25674215006892,11.695456548756537,1005,5605015702.0,0.0
"42.25674215006892,11.695456548756537","42.2527645,11.7559678",8219.0,809.0,42.25674215006892,11.695456548756537,1005,5605015702.0,0.0
"42.25674215006892,11.695456548756537","42.2431089,11.7518516",7492.0,663.0,42.25674215006892,11.695456548756537,1005,5605015702.0,0.0
"42.24002481483482,11.692306618084617","42.2515605,11.7578269",8727.0,836.0,42.24002481483482,11.692306618084617,1768,5605015705.0,0.0
"42.24002481483482,11.692306618084617","42.2507249,11.7574742",8653.0,820.0,42.24002481483482,11.692306618084617,1768,5605015705.0,0.0
"42.24002481483482,11.692306618084617","42.2527645,11.7559678",9094.0,880.0,42.24002481483482,11.692306618084617,1768,5605015705.0,0.0
"42.24002481483482,11.692306618084617","42.2431089,11.7518516",8368.0,735.0,42.24002481483482,11.692306618084617,1768,5605015705.0,0.0
"42.478029926961035,11.790977843432145","42.4639563,11.7493871",,,42.478029926961035,11.790977843432145,132,5605110001.0,0.0
"42.478029926961035,11.790977843432145","42.46225949999999,11.7502847",,,42.478029926961035,11.790977843432145,132,5605110001.0,0.0
"42.478029926961035,11.790977843432145","42.4627917,11.7506098",,,42.478029926961035,11.790977843432145,132,5605110001.0,0.0
"42.712338633380554,13.25075376161342","42.6940431,13.2456074",4976.0,547.0,42.712338633380554,13.25075376161342,1707,5700120011.0,0.0
"42.661542412972906,13.204728727411355","42.6940431,13.2456074",12068.0,1151.0,42.661542412972906,13.204728727411355,2176,5700124902.0,0.0
"42.661542412972906,13.204728727411355","42.62740609999999,13.2913243",19158.0,1564.0,42.661542412972906,13.204728727411355,2176,5700124902.0,0.0
"42.66460476105176,13.287347792215263","42.6300816,13.2878413",6756.0,585.0,42.66460476105176,13.287347792215263,493,5700210002.0,0.0
"42.66460476105176,13.287347792215263","42.62740609999999,13.2913243",7243.0,638.0,42.66460476105176,13.287347792215263,493,5700210002.0,0.0
"42.59870221285217,13.230793117523438","42.6300816,13.2878413",11820.0,826.0,42.59870221285217,13.230793117523438,1098,5700210003.0,0.0
"42.59870221285217,13.230793117523438","42.62740609999999,13.2913243",12308.0,879.0,42.59870221285217,13.230793117523438,1098,5700210003.0,0.0
"42.656421918862044,13.287793839284513","42.6300816,13.2878413",5965.0,527.0,42.656421918862044,13.287793839284513,1387,5700220036.0,0.0
"42.656421918862044,13.287793839284513","42.62740609999999,13.2913243",6452.0,580.0,42.656421918862044,13.287793839284513,1387,5700220036.0,0.0
"42.61440275431727,13.332055361491207","42.6300816,13.2878413",5785.0,547.0,42.61440275431727,13.332055361491207,1605,5700220016.0,0.0
"42.61440275431727,13.332055361491207","42.62740609999999,13.2913243",5704.0,552.0,42.61440275431727,13.332055361491207,1605,5700220016.0,0.0
"42.64899503927041,13.302037271898634","42.6300816,13.2878413",4849.0,430.0,42.64899503927041,13.302037271898634,2136,5700220043.0,0.0
"42.64899503927041,13.302037271898634","42.62740609999999,13.2913243",5336.0,483.0,42.64899503927041,13.302037271898634,2136,5700220043.0,0.0
"42.63429817801519,13.324388241354344","42.6300816,13.2878413",5525.0,499.0,42.63429817801519,13.324388241354344,2192,5700220045.0,0.0
"42.63429817801519,13.324388241354344","42.62740609999999,13.2913243",5614.0,562.0,42.63429817801519,13.324388241354344,2192,5700220045.0,0.0
"42.1976270134602,12.994640040277046","42.2722176,12.9652341",17467.0,1909.0,42.1976270134602,12.994640040277046,145,5700410001.0,0.0
"42.24526177543674,12.963255225677518","42.2163639,12.9662734",7692.0,976.0,42.24526177543674,12.963255225677518,494,5700410002.0,0.0
"42.48451060936681,13.113748290929115","42.5285742,13.0988205",8403.0,841.0,42.48451060936681,13.113748290929115,495,5700610002.0,0.0
"42.48451060936681,13.113748290929115","42.2892388,13.067826",50520.0,4355.0,42.48451060936681,13.113748290929115,495,5700610002.0,0.0
"42.48451060936681,13.113748290929115","42.4168788,13.0807377",20932.0,1853.0,42.48451060936681,13.113748290929115,495,5700610002.0,0.0
"42.48451060936681,13.113748290929115","42.4150603,13.0766356",21471.0,1903.0,42.48451060936681,13.113748290929115,495,5700610002.0,0.0
"42.246671655557584,12.814117098959128","42.2031904,12.8769869",11522.0,898.0,42.246671655557584,12.814117098959128,499,5701110002.0,0.0
"42.61605697626939,13.158228540727363","42.62740609999999,13.2913243",21449.0,1267.0,42.61605697626939,13.158228540727363,158,5701710001.0,0.0
"42.56500031796282,13.149291789326497","42.6178739,13.1595219",7478.0,541.0,42.56500031796282,13.149291789326497,503,5701710002.0,0.0
"42.58735327575799,13.169230690476677","42.6178739,13.1595219",5061.0,487.0,42.58735327575799,13.169230690476677,1314,5701720008.0,0.0
"42.55976362709532,13.153722560233813","42.6178739,13.1595219",8897.0,740.0,42.55976362709532,13.153722560233813,1709,5701720011.0,0.0
"42.59380091610847,13.170165864360328","42.6178739,13.1595219",4426.0,383.0,42.59380091610847,13.170165864360328,2072,5701726605.0,0.0
"42.483493219111836,12.789530309445514","42.4121165,12.7692088",9436.0,765.0,42.483493219111836,12.789530309445514,1779,5702520004.0,0.0
"42.483493219111836,12.789530309445514","42.4091169,12.7698609",11457.0,695.0,42.483493219111836,12.789530309445514,1779,5702520004.0,0.0
"42.179217380288,12.67829962040052","42.1585543,12.6558973",4496.0,466.0,42.179217380288,12.67829962040052,1502,5702720023.0,0.0
"42.54253872901855,13.043622075400052","42.5666655,12.9631842",,,42.54253872901855,13.043622075400052,174,5703310001.0,0.0
"42.59680557353267,12.92478592450068","42.5666655,12.9631842",,,42.59680557353267,12.92478592450068,1347,5703320029.0,0.0
"42.34855110060557,12.499340167215585","42.3638416,12.4871915",6606.0,601.0,42.34855110060557,12.499340167215585,930,5703520002.0,0.0
"42.34855110060557,12.499340167215585","42.3624057,12.4845991",6732.0,607.0,42.34855110060557,12.499340167215585,930,5703520002.0,0.0
"42.272300252037525,13.064338930013331","42.2943759,13.0686723",4233.0,470.0,42.272300252037525,13.064338930013331,189,5705010001.0,0.0
"42.26173472278351,13.083467350046577","42.2943759,13.0686723",6031.0,581.0,42.26173472278351,13.083467350046577,1456,5705020009.0,0.0
"42.50067424521999,13.096049197649114","42.5285742,13.0988205",5170.0,525.0,42.50067424521999,13.096049197649114,1457,5705720009.0,0.0
"41.9712174572541,13.107353007776036","42.04141329999999,13.0161213",19944.0,1942.0,41.9712174572541,13.107353007776036,826,5802820001.0,0.0
"41.9712174572541,13.107353007776036","41.9242555,13.0941288",20448.0,2048.0,41.9712174572541,13.107353007776036,826,5802820001.0,0.0
"41.9712174572541,13.107353007776036","41.9275895,13.0934048",19357.0,1973.0,41.9712174572541,13.107353007776036,826,5802820001.0,0.0
"41.9712174572541,13.107353007776036","41.9293519,13.0928266",19099.0,1919.0,41.9712174572541,13.107353007776036,826,5802820001.0,0.0
"42.12247065980157,12.524838019833378","42.147924,12.5115272",7691.0,763.0,42.12247065980157,12.524838019833378,1889,5806820003.0,0.0
"42.12247065980157,12.524838019833378","42.1462188,12.5050638",7867.0,828.0,42.12247065980157,12.524838019833378,1889,5806820003.0,0.0
"42.12247065980157,12.524838019833378","42.1474348,12.4910877",5870.0,578.0,42.12247065980157,12.524838019833378,1889,5806820003.0,0.0
"42.12247065980157,12.524838019833378","42.1475906,12.4910719",5886.0,580.0,42.12247065980157,12.524838019833378,1889,5806820003.0,0.0
"41.75163828896383,12.76944046472864","41.7620126,12.708208",7110.0,833.0,41.75163828896383,12.76944046472864,39,5808610001.0,0.0
"41.75163828896383,12.76944046472864","41.7770481,12.6934884",10341.0,1192.0,41.75163828896383,12.76944046472864,39,5808610001.0,0.0
"41.75163828896383,12.76944046472864","41.7637096,12.7025863",7651.0,966.0,41.75163828896383,12.76944046472864,39,5808610001.0,0.0
"41.75163828896383,12.76944046472864","41.7597368,12.7127702",7429.0,792.0,41.75163828896383,12.76944046472864,39,5808610001.0,0.0
"41.75163828896383,12.76944046472864","41.7615682,12.7078911",7165.0,842.0,41.75163828896383,12.76944046472864,39,5808610001.0,0.0
"41.51870428339467,12.825404961304159","41.6075854,12.8115447",13881.0,951.0,41.51870428339467,12.825404961304159,2267,5900526614.0,0.0
"41.51870428339467,12.825404961304159","41.5919235,12.8257098",11130.0,740.0,41.51870428339467,12.825404961304159,2267,5900526614.0,0.0
"41.51870428339467,12.825404961304159","41.6024918,12.842822",13345.0,986.0,41.51870428339467,12.825404961304159,2267,5900526614.0,0.0
"41.51870428339467,12.825404961304159","41.588869,12.8296273",10991.0,718.0,41.51870428339467,12.825404961304159,2267,5900526614.0,0.0
"41.51870428339467,12.825404961304159","41.5628681,12.8028927",7562.0,455.0,41.51870428339467,12.825404961304159,2267,5900526614.0,0.0
"41.51870428339467,12.825404961304159","41.5907481,12.7814466",12541.0,857.0,41.51870428339467,12.825404961304159,2267,5900526614.0,0.0
