Comune,Nucleo_ID,Popolazione,SI_mean_km,SI_St.Dv_km,SI_mean_min,SI_St.Dv_min,SI_match_ratio,SP_mean_km,SP_St.Dv_km,SP_mean_min,SP_St.Dv_min,SP_match_ratio,SS_mean_km,SS_St.Dv_km,SS_mean_min,SS_St.Dv_min,SS_match_ratio
GROTTAFERRATA,5804610002.0,19274.0,1.8756666666666668,0.32222093869476176,25.433333333333334,3.4022459901920348,3/3,1.8033333333333332,0.39785969051077963,24.738888888888887,3.943712764688926,3/3,2.0485,0.37971634149717615,27.5,3.4176827757349817,2/2
GROTTAFERRATA,5804610004.0,157.0,4.739,0.9628603221651625,45.32222222222222,1.716612728386709,3/3,4.945666666666667,1.2457826188116985,45.588888888888896,2.3392979320332032,3/3,4.063,2.002526404320303,39.6,8.01387685344754,2/2
GROTTAFERRATA,5804620007.0,66.0,5.479333333333334,0.9898284363127445,39.93888888888889,4.95059854218921,3/3,5.1160000000000005,1.435892405439906,39.43333333333333,5.3443376057697245,3/3,5.7475000000000005,1.3201683604752843,41.60833333333333,6.635018630133771,2/2
GROTTAFERRATA,5804610005.0,193.0,3.623666666666667,0.9411595684756828,32.61111111111111,0.9730155493409431,3/3,3.8303333333333334,1.2258883853489,32.87777777777778,1.9564944084689782,3/3,2.954,1.9756563466352137,26.658333333333335,8.968471008049377,2/2
GROTTAFERRATA,5804610003.0,101.0,4.767666666666667,0.5487443241923632,46.16111111111111,0.9730155493409461,3/3,4.974333333333333,0.8802961622847922,46.427777777777784,1.9564944084689755,3/3,4.088,1.66311514935076,42.349999999999994,5.939696961966998,2/2
GROTTAFERRATA,5804620006.0,86.0,5.833,0.548896165043991,48.1111111111111,0.9730155493409431,3/3,6.039666666666666,0.8802331130634279,48.37777777777778,1.9564944084689782,3/3,5.274,1.491995308303615,45.891666666666666,3.6887403751898242,2/2
GROTTAFERRATA,5804626605.0,32.0,4.547999999999999,0.6255493585641344,16.938888888888886,0.4613787710443242,3/3,4.754666666666666,0.9452123218268652,17.205555555555556,1.7804753838771799,3/3,4.5120000000000005,0.8174154390516487,18.133333333333333,0.7778174593052033,2/2
GROTTAFERRATA,5804626701.0,88.0,5.135000000000001,0.6255493585641344,17.47222222222222,0.46137877104432257,3/3,5.341666666666666,0.945212321826865,17.738888888888887,1.7804753838771807,3/3,5.099,0.8174154390516487,18.666666666666664,0.7778174593052007,2/2
JENNE,5804810001.0,305.0,13.622,,30.366666666666667,,1/1,37.327,,186.45,,1/1,13.622,,30.366666666666667,,1/1
LABICO,5804910001.0,5017.0,1.379,0.268700576850888,18.525000000000002,3.806591505387579,2/2,1.232,,16.45,,1/1,1.45,,18.466666666666665,,1/1
LABICO,5804920001.0,1112.0,10.980500000000001,0.3372899346259821,88.11666666666667,0.11785113019776128,2/2,10.785,,88.81666666666666,,1/1,11.097,,85.91666666666667,,1/1
LANUVIO,5805010001.0,697.0,13.302333333333333,4.061736369255559,63.2111111111111,32.51491253312912,3/3,13.9615,3.0049115904909196,68.44583333333334,29.299334384425364,4/4,15.088999999999999,,85.51666666666667,,1/1
LANUVIO,5805010002.0,6056.0,8.463999999999999,12.912940292590221,54.599999999999994,65.92835336771105,3/3,2.381,2.857119761811418,22.795833333333334,14.115504838717312,4/4,0.855,,14.516666666666667,,1/1
