Comune,Popolazione_totale,SI_mean_km,SP_mean_km,SS_mean_km,IC_mean_km,SI_mean_min,SP_mean_min,SS_mean_min,IC_mean_min,SI_St.Dv_km,SP_St.Dv_km,SS_St.Dv_km,IC_St.Dv_km,SI_St.Dv_min,SP_St.Dv_min,SS_St.Dv_min,IC_St.Dv_min
ROCCA DI PAPA,17111.0,2.4062305144838607,2.387897181150527,0.6249745777569985,0.6249745777569985,6.101493840869096,6.111887090175911,2.0128007324722885,2.0128007324722885,5.8218976566128395,5.82189765661284,6.084243940978479,6.084243940978479,6.466986437301914,6.518140245758333,7.791500295312311,7.791500295312311
ROCCA MASSIMA,740.0,4.0485999999999995,6.3637783783783775,7.744589189189189,7.301872972972974,6.9753603603603604,10.343828828828828,13.707162162162161,12.41864864864865,3.9661741430922235,3.69612107485672,0.8790758404900759,0.8785797250866502,6.303533694447665,5.389573266966505,1.2619429464123968,1.1422849096503076
ROCCA PRIORA,11798.0,7.197831539243939,5.402779666045092,3.141601373114087,3.141601373114087,11.368024241396848,8.414972170424367,6.229497937503532,6.229497937503532,1.8102106921571304,1.1303882445130666,2.5012385598605604,2.5012385598605604,2.3100976009523766,1.8741850080620237,2.492228662001886,2.492228662001886
ROCCA SANTO STEFANO,820.0,0.046,0.944,0.092,9.277,0.2333333333333333,2.5,0.6333333333333332,17.85,,,,,,,,
ROCCA SINIBALDA,494.0,4.67018016194332,4.463279352226721,4.463279352226721,10.13121052631579,6.930836707152496,6.706646423751687,6.706646423751687,14.153373819163292,5.760803928685814,5.932484567435227,5.932484567435227,7.724141752293507,8.037524428690649,8.367025540902597,8.367025540902597,10.768467587354023
ROCCAGIOVINE,235.0,4.022,4.099,7.158,7.158,8.183333333333334,7.766666666666667,11.333333333333334,11.333333333333334,,,,,,,,
ROCCAGORGA,2822.0,2.8772987243090005,3.1298153791637136,2.1657675407512404,2.1657675407512404,5.917458067564374,6.107163949917317,5.466902905740609,5.466902905740609,1.4649810010144615,0.8163634811365177,2.4304709420192623,2.4304709420192623,1.6720191829486133,0.5027931243821124,3.433589526579588,3.433589526579588
ROCCANTICA,279.0,0.37127956989247307,5.435254480286738,5.435254480286738,36.08425448028674,0.7841696535244922,8.397968936678614,8.397968936678614,48.29097968936679,2.2443569234861016,0.526794551983978,0.526794551983978,0.5267945519839761,3.5944594710316164,1.2138666410369068,1.2138666410369068,1.425998675392875
ROCCASECCA,3810.0,6.914242125984251,2.1239082677165353,1.1330661417322834,1.1330661417322834,11.838055555555556,3.844811898512686,2.3387051618547683,2.3387051618547683,0.9517784668713624,1.0612988504657865,2.3135462678177268,2.3135462678177268,1.7047930796564255,1.8785583518968687,3.6819881907791387,3.6819881907791387
ROCCASECCA DEI VOLSCI,796.0,0.7620753768844221,1.4151143216080402,1.4151143216080402,8.295158291457286,1.3538944723618092,3.1055904522613056,3.1055904522613056,13.327386934673365,3.7603798566988766,3.6615503546994956,3.6615503546994956,5.74992558647501,7.8355788743586965,7.3245528241711835,7.3245528241711835,10.413322796622927
ROIATE,627.0,6.757999999999999,0.727,6.757999999999999,8.52,13.366666666666664,1.9666666666666666,13.366666666666664,13.466666666666667,,,,,,,,
RONCIGLIONE,7871.0,0.6505718460170244,0.6505718460170244,1.0285093380764834,0.6505718460170244,1.8028797696184307,1.8028797696184307,3.1418604158726127,1.8028797696184307,3.085631264425482,3.085631264425482,3.266274590416427,3.085631264425482,3.8584575213995094,3.8584575213995094,4.157165834769859,3.8584575213995094
ROVIANO,1238.0,0.344,0.344,0.344,13.674,1.3166666666666669,1.3166666666666669,1.3166666666666669,18.35,,,,,,,,
SABAUDIA,14078.0,8.517729098593552,9.956166406213004,7.03071171331155,4.038286013638301,8.999397108964342,10.33877878802229,7.952712861675428,4.864393616517496,2.455188814959381,2.604497095227334,3.6057420598536716,4.612922587925989,3.1457370567224183,3.4206572831566913,3.399936255956359,4.227216141081361
SACROFANO,6251.0,2.929926571748521,2.882926571748521,2.798990401535755,10.453645976643736,5.312971257932064,5.210862262038074,4.9203060843598365,15.425974510744947,1.6032404742214494,1.6032404742214494,1.6031661684418006,2.0982583903626537,2.0600848271247223,2.039243769517306,2.053859387552708,2.774174733960616
SALISANO,321.0,0.47723676012461064,0.47723676012461064,12.458283489096573,12.580133956386293,0.9142263759086188,0.9142263759086188,18.74813084112149,20.86126687435099,3.12541197284454,3.12541197284454,3.365828278447966,2.795193106030422,4.820111225088299,4.820111225088299,5.161879502661794,3.98336820068422
SAMBUCI,811.0,0.376,8.566,8.35,8.35,1.2833333333333337,12.0,12.2,12.2,,,,,,,,
SAN BIAGIO SARACINISCO,157.0,11.55367515923567,0.5032038216560508,12.469675159235669,17.388541401273883,19.298089171974524,1.0222929936305734,19.183333333333326,24.820169851380044,1.4573470760254756,1.1165216074935587,1.4573470760254743,1.456639969244287,2.3688077169749326,1.9681138743025572,1.8502627441048023,2.1331054565794174
SAN CESAREO,13382.0,0.8497303093707966,0.8497303093707966,0.8497303093707966,1.970191899566582,1.8795334528969263,1.8795334528969263,1.8795334528969263,4.65623225227918,2.3184334574079477,2.3184334574079477,2.3184334574079477,2.165112451715021,3.474298347571277,3.474298347571277,3.474298347571277,2.7890623957916483
SAN DONATO VAL DI COMINO,979.0,0.775241062308478,0.7482410623084781,0.2514014300306435,6.359334014300306,2.011865849506299,1.9271024855294516,0.7980422199523324,9.24099421178073,1.306840592166211,1.306840592166211,1.3164711669206182,1.3185485707145312,2.271991294975499,2.299899353675512,1.9151684966003306,1.7509521219420403
