Comune,Popolazione_totale_driving,SI_mean_km_driving,SP_mean_km_driving,SS_mean_km_driving,IC_mean_km,SI_mean_min_driving,SP_mean_min_driving,SS_mean_min_driving,IC_mean_min,SI_St.Dv_km_driving,SP_St.Dv_km_driving,SS_St.Dv_km_driving,IC_St.Dv_km,SI_St.Dv_min_driving,SP_St.Dv_min_driving,SS_St.Dv_min_driving,IC_St.Dv_min,Popolazione_totale_transit,SI_mean_km_transit,SP_mean_km_transit,SS_mean_km_transit,SI_mean_min_transit,SP_mean_min_transit,SS_mean_min_transit,SI_St.Dv_km_transit,SP_St.Dv_km_transit,SS_St.Dv_km_transit,SI_St.Dv_min_transit,SP_St.Dv_min_transit,SS_St.Dv_min_transit,SI_diff_km,SI_diff_min,SP_diff_km,SP_diff_min,SS_diff_km,SS_diff_min
FONTE NUOVA,31026.0,2.654235211328133,3.006566170308773,3.2803158641139687,3.1950169051763044,5.300930044335575,6.051155303437261,5.927934366875095,6.210823986334042,1.5490876060155898,1.8442603546016916,1.3519214751604476,1.616722958641956,2.56771683662479,3.131773153729329,2.202471780623862,2.7799417959534485,31026.0,2.055089559294355,3.8292976106061594,2.351045494101721,27.92237138027604,33.754969846078914,30.96740475730033,3.358939410984763,3.238349059834861,4.54159130977238,13.497027793527703,17.339958402701185,14.144991506615414,-0.5991456520337781,22.621441335940464,0.8227314402973862,27.703814542641652,-0.9292703700122478,25.039470390425233
FORMELLO,12094.0,4.442566520588722,4.520794608896974,2.8313915164544405,3.3367662477261453,6.506810539661539,6.764077228377709,4.709639766275289,5.681052588060195,1.8722859849723303,1.8869363775329413,2.816446097309093,2.9096340957977125,1.9210784283944076,1.966241210369292,3.3691390418915463,3.606435312240559,12094.0,5.28255585414255,5.482834670084339,4.664276748801059,52.70747960421146,53.62449561766165,33.73896560277824,10.065915380748086,10.08414660907572,11.817689656169,36.047645756002765,35.60149270843546,53.38286663092804,0.8399893335538282,46.20066906454992,0.9620400611873645,46.86041838928394,1.832885232346618,29.02932583650295
FRASCATI,22080.0,3.723499999999999,3.829,3.161,3.2869999999999995,10.608333333333333,10.7,11.275,11.775,,,,,,,,,22080.0,3.5620000000000003,3.8412000000000006,3.1800000000000006,49.24444444444445,49.49333333333333,43.275,,,,,,,-0.16149999999999887,38.63611111111111,0.012200000000000433,38.79333333333334,0.019000000000000572,32.0
GALLICANO NEL LAZIO,5638.0,3.367477651649521,2.3822506207875134,2.0925432777580704,2.0925432777580704,6.766465649757598,6.446881281778408,5.5596428993733005,5.5596428993733005,1.0865322514004514,1.2251651589343644,1.2256309939510068,1.2256309939510068,2.692152518930751,1.9981704594916787,2.039902866242337,2.039902866242337,5638.0,3.4061830436324936,2.439782369634622,2.282347286271728,16.468750739032753,13.088320326356865,24.588808087974456,1.6670444905080763,1.216546204082141,0.8815559634343509,3.269344140819548,3.426976315451664,21.19744645260629,0.038705391982972515,9.702285089275154,0.057531748847108766,6.641439044578457,0.18980400851365742,19.029165188601155
GAVIGNANO,1192.0,1.5174093959731545,1.5538942953020134,1.2747223154362417,10.207993288590604,2.8422818791946307,2.869532997762864,2.312709731543624,15.149314876957495,1.958775285490304,1.9325193154951656,1.9500048473688223,1.421310997769648,2.8117384330468966,2.7503438938415563,3.037884689425092,1.993657270487912,1192.0,1.6376753355704696,1.6880243288590604,1.4127055369127517,11.536507270693512,12.154418344519016,8.96736577181208,2.2511448833236583,2.2390804979255385,2.172303758466485,13.033047128753791,13.039693673975286,12.97529857135754,0.12026593959731513,8.694225391498883,0.134130033557047,9.284885346756152,0.13798322147651,6.654656040268456
GENAZZANO,4478.0,11.888322688700312,0.9182626172398394,1.219449531040643,1.219449531040643,15.875779737978265,2.177590442161679,2.635116123269316,2.635116123269316,4.077207325486405,3.116744134509601,3.108276162119448,3.108276162119448,2.453847602349329,4.02259935309938,3.904207132483282,3.904207132483282,4478.0,18.859945734702997,2.2484472979008485,2.550173961589996,75.40846918267083,12.818036325740657,15.46902262914992,8.501261600492013,16.99714336293014,16.982202851809305,24.113882441218134,40.58465261373784,42.99367944503265,6.971623046002685,59.532689444692565,1.3301846806610091,10.640445883578977,1.330724430549353,12.833906505880604
GENZANO DI ROMA,21190.0,2.854859745162813,2.923623067484663,1.7291810759792356,1.258252501179802,5.575595249331446,5.600345131351268,5.204792748151643,3.2401403964134023,1.7733533625793334,1.7443031715518134,3.2483267773853317,3.0731261821230187,2.5064163692158203,2.4477131779657726,4.642217923792907,4.3109765540079605,21190.0,2.776922444549315,2.8283312600283157,1.6969294950448326,14.948312568821772,15.671236432279374,16.878555136070474,3.3924569954111856,3.370397145632205,5.93713104718336,21.678967552145654,21.523948562156274,27.504406573354405,-0.07793730061349802,9.372717319490325,-0.09529180745634713,10.070891300928105,-0.03225158093440306,11.673762387918831
GERANO,957.0,0.8181974921630094,6.573278996865204,6.573278996865204,20.269244514106585,2.756269592476489,10.28092998955068,10.28092998955068,30.150156739811912,0.2192031021678296,0.1378858223313769,0.1378858223313769,0.3945655839020934,0.8720983634634082,0.4596194077712549,0.4596194077712549,0.5421151989096857,957.0,0.7888557993730408,7.301047021943574,7.301047021943574,11.013322884012538,51.30344827586206,51.30344827586206,0.1979898987322333,0.3882016228714154,0.3882016228714154,2.793071785686862,4.407632269396147,4.407632269396147,-0.029341692789968565,8.25705329153605,0.7277680250783698,41.02251828631138,0.7277680250783698,41.02251828631138
GORGA,561.0,1.564727272727273,1.564727272727273,13.105818181818185,17.08081818181818,2.8090909090909086,2.8090909090909086,21.1530303030303,28.324242424242428,5.043085563422457,5.043085563422457,5.00985154470669,5.009851544706689,8.072802418546418,8.072802418546418,7.766389480032246,7.683893688893817,561.0,1.664,1.664,39.350545454545454,6.468181818181818,6.468181818181818,105.8090909090909,5.429165865950312,5.429165865950312,4.804790578162592,12.256517540566822,12.256517540566822,8.00209174042776,0.09927272727272696,3.659090909090909,0.09927272727272696,3.659090909090909,26.244727272727268,84.6560606060606
GROTTAFERRATA,19997.0,2.206931323031789,2.094348168892,2.4274734710206536,2.0898993599039857,6.687506459302229,6.131680029782245,7.14448542281342,6.755111183344169,1.003232465068916,1.0053136040362318,1.0350816888915442,1.2726889629554314,3.4931010363412307,3.3627844942359486,2.876500428003025,3.5859484850870924,19997.0,1.977157290260206,1.9130300378390084,2.126803270490574,25.8602287565357,25.197984975524104,27.733678801820272,1.2493062963990147,1.2865360708149371,1.234170282300739,12.817649231985367,12.864565770718256,11.126528285877342,-0.22977403277158293,19.17272229723347,-0.18131813105299166,19.06630494574186,-0.3006702005300794,20.58919337900685
