Comune,Nucleo_ID,Popolazione,mean_km,St.Dv_km,mean_min,St.Dv_min,match_ratio
MARCELLINA,5805610001,6636.0,11.559,,27.333333333333332,,1/1
MARCELLINA,5805620002,134.0,13.508,,40.516666666666666,,1/1
MARCELLINA,5805620001,43.0,7.201,,18.05,,1/1
MAZZANO ROMANO,5805810001,2452.0,41.791,,109.98333333333335,,1/1
MENTANA,5805910001,1959.0,21.162,,78.85,,1/1
MENTANA,5805910002,118.0,35.93,,100.68333333333334,,1/1
MENTANA,5805910004,181.0,34.992,,119.78333333333333,,1/1
MENTANA,5805920001,500.0,36.307,,114.66666666666667,,1/1
MENTANA,5805910003,18345.0,35.208,,97.48333333333333,,1/1
MONTE COMPATRI,5806010001,97.0,13.394,,64.2,,1/1
MONTE COMPATRI,5806010006,119.0,4.526,,44.31666666666667,,1/1
MONTE COMPATRI,5806010002,554.0,7.146,,34.1,,1/1
MONTE COMPATRI,5806010004,3074.0,35.488,,108.18333333333332,,1/1
MONTE COMPATRI,5806020002,64.0,2.249,,42.35,,1/1
MONTE COMPATRI,5806020001,61.0,11.805,,58.03333333333333,,1/1
MONTE COMPATRI,5806010005,47.0,35.733,,128.66666666666666,,1/1
MONTE COMPATRI,5806010003,5848.0,0.594,,11.6,,1/1
MONTE COMPATRI,5806010008,307.0,37.156,,117.51666666666668,,1/1
MONTE COMPATRI,5806010007,22.0,1.387,,25.9,,1/1
MONTE COMPATRI,5806020005,144.0,2.189,,29.716666666666665,,1/1
MONTE COMPATRI,5806020003,51.0,12.142,,62.983333333333334,,1/1
MONTEFLAVIO,5806110001,1188.0,38.831,,95.88333333333334,,1/1
MONTELANICO,5806210001,215.0,14.04,,32.03333333333333,,1/1
MONTELANICO,5806210002,1520.0,11.794,,19.95,,1/1
MONTELIBRETTI,5806310001,502.0,27.108,,80.16666666666667,,1/1
MONTELIBRETTI,5806310002,3702.0,27.504,,66.88333333333334,,1/1
MONTELIBRETTI,5806310003,96.0,14.776000000000002,,41.666666666666664,,1/1
MONTELIBRETTI,5806326603,24.0,26.166,,70.1,,1/1
MONTELIBRETTI,5806320004,66.0,25.7,,62.85000000000001,,1/1
MONTE PORZIO CATONE,5806410001,1011.0,1.295,,7.816666666666666,,1/1
MONTE PORZIO CATONE,5806410002,6928.0,4.9910000000000005,,21.966666666666665,,1/1
MONTE PORZIO CATONE,5806420007,55.0,2.637,,25.433333333333334,,1/1
MONTE PORZIO CATONE,5806420005,209.0,3.278,,42.6,,1/1
MONTE PORZIO CATONE,5806420006,104.0,2.6509999999999994,,15.283333333333333,,1/1
MONTORIO ROMANO,5806610001,1871.0,34.45,,109.25,,1/1
MORICONE,5806710001,2188.0,37.113,,79.76666666666667,,1/1
MORLUPO,5806810001,200.0,61.383,,127.98333333333333,,1/1
MORLUPO,5806810002,6634.0,63.49199999999999,,134.21666666666667,,1/1
MORLUPO,5806820002,130.0,63.791,,130.55,,1/1
MORLUPO,5806810003,19.0,60.611999999999995,,114.95,,1/1
MORLUPO,5806820015,72.0,61.809,,120.58333333333333,,1/1
MORLUPO,5806820008,107.0,66.433,,150.4,,1/1
MORLUPO,5806820014,157.0,60.447,,128.11666666666667,,1/1
MORLUPO,5806820011,273.0,66.768,,145.65,,1/1
MORLUPO,5806820004,69.0,65.098,,150.06666666666666,,1/1
MORLUPO,5806820003,75.0,,,,,0/0
MORLUPO,5806826713,43.0,65.904,,153.56666666666666,,1/1
NAZZANO,5806910001,835.0,74.58,,149.71666666666667,,1/1
NAZZANO,5806920005,70.0,71.523,,153.96666666666667,,1/1
NAZZANO,5806920004,133.0,74.177,,148.53333333333333,,1/1
NAZZANO,5806926602,3.0,68.741,,136.7,,1/1
NEMI,5807010001,143.0,2.085,,34.3,,1/1
NEMI,5807010002,59.0,5.058,,69.73333333333333,,1/1
NEMI,5807010004,53.0,4.35,,47.65,,1/1
NEMI,5807010005,315.0,1.6759999999999997,,27.433333333333334,,1/1
NEMI,5807010003,1187.0,3.559,,49.516666666666666,,1/1
NEMI,5807027401,19.0,1.042,,16.816666666666666,,1/1
NEROLA,5807110001,520.0,26.013,,78.31666666666666,,1/1
NEROLA,5807110002,995.0,30.859,,105.11666666666666,,1/1
NEROLA,5807110003,63.0,24.635,,74.65,,1/1
NEROLA,5807126601,30.0,29.776,,93.63333333333334,,1/1
NEROLA,5807126702,27.0,29.125,,100.83333333333333,,1/1
